Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 69.0.3497.100,,2018-10-30 16:37:56,2018-10-30 16:38:43,47.166s,ERROR
,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 69.0.3497.100,,2018-10-30 16:37:56,2018-10-30 16:38:23,27.433s,PASSED
tradeFunds.TF_Regression.LoginTFCustomer,Chrome 69.0.3497.100,,2018-10-30 16:37:56,2018-10-30 16:38:23,27.188s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Create_Banner,Chrome 69.0.3497.100,,2018-10-30 16:38:23,2018-10-30 16:38:43,19.507s,ERROR
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 16:38:23,2018-10-30 16:38:23,0.044s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-30 16:38:23,2018-10-30 16:38:24,0.054s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 16:38:24,2018-10-30 16:38:24,0.007s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-30 16:38:24,2018-10-30 16:38:25,1.630s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 16:38:25,2018-10-30 16:38:25,0.009s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:38:25,2018-10-30 16:38:26,0.586s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 16:38:26,2018-10-30 16:38:26,0.011s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:38:26,2018-10-30 16:38:26,0.064s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 16:38:26,2018-10-30 16:38:31,5.005s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:38:31,2018-10-30 16:38:31,0.006s,NOT_RUN
delay,Chrome 69.0.3497.100,,2018-10-30 16:38:31,2018-10-30 16:38:31,0.004s,NOT_RUN
setText,Chrome 69.0.3497.100,,2018-10-30 16:38:31,2018-10-30 16:38:36,5.415s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 16:38:36,2018-10-30 16:38:38,2.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:38:38,2018-10-30 16:38:38,0.007s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-10-30 16:38:38,2018-10-30 16:38:38,0.146s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 16:38:38,2018-10-30 16:38:39,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:38:39,2018-10-30 16:38:40,0.129s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 16:38:40,2018-10-30 16:38:43,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:38:43,2018-10-30 16:38:43,0.131s,PASSED
tradeFunds.TF_Regression.verifyBanner,Chrome 69.0.3497.100,,2018-10-30 16:38:43,2018-10-30 16:38:43,0.090s,ERROR
