Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Open_All_Pages,Chrome 74.0.3729.131,,,2019-05-15 08:07:52,2019-05-15 08:10:13,2m - 21.169s,PASSED
,,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 74.0.3729.131,,,2019-05-15 08:07:52,2019-05-15 08:08:16,24.247s,PASSED
"com.oracledb.regressiontest.LoginTFProduct(User, Password)",Chrome 74.0.3729.131,,,2019-05-15 08:07:52,2019-05-15 08:08:16,23.845s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_1_Open_JMS_Sales_Organisation,Chrome 74.0.3729.131,This test case will open JMS Sales organistion page.,,2019-05-15 08:08:16,2019-05-15 08:08:34,18.229s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-15 08:08:16,2019-05-15 08:08:22,6.007s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:22,2019-05-15 08:08:25,2.865s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:25,2019-05-15 08:08:28,3.004s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:28,2019-05-15 08:08:28,0.041s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:28,2019-05-15 08:08:31,3.007s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/1_Menu_JMS_Sales_Organisation""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:31,2019-05-15 08:08:31,0.106s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-15 08:08:31,2019-05-15 08:08:31,0.009s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:31,2019-05-15 08:08:34,3.004s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-1_Total_Company,Chrome 74.0.3729.131,This test case will open total company page by going into the Product Hierarchy level.,,2019-05-15 08:08:34,2019-05-15 08:08:46,11.513s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-15 08:08:34,2019-05-15 08:08:34,0.012s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:34,2019-05-15 08:08:34,0.042s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:34,2019-05-15 08:08:37,3.006s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:37,2019-05-15 08:08:37,0.052s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:37,2019-05-15 08:08:40,3.021s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/2_Product_Hierarchy_Level_Hoverover_Option""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:40,2019-05-15 08:08:41,0.097s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-15 08:08:41,2019-05-15 08:08:43,2.003s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/Product Hierarchy Level/td_total_company""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:43,2019-05-15 08:08:43,0.104s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-15 08:08:43,2019-05-15 08:08:43,0.009s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:43,2019-05-15 08:08:46,3.003s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-2_Product_Summary,Chrome 74.0.3729.131,This test case will open page product summary.,,2019-05-15 08:08:46,2019-05-15 08:08:57,11.392s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-15 08:08:46,2019-05-15 08:08:46,0.008s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:46,2019-05-15 08:08:46,0.049s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:46,2019-05-15 08:08:49,3.006s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:49,2019-05-15 08:08:49,0.054s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:49,2019-05-15 08:08:52,3.007s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/2_Product_Hierarchy_Level_Hoverover_Option""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:52,2019-05-15 08:08:52,0.053s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-15 08:08:52,2019-05-15 08:08:54,2.001s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/Product Hierarchy Level/td_Product_summary""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:54,2019-05-15 08:08:54,0.081s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-15 08:08:54,2019-05-15 08:08:54,0.019s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:54,2019-05-15 08:08:57,3.003s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-3_Planning_Product,Chrome 74.0.3729.131,This test case will open page product summary.,,2019-05-15 08:08:57,2019-05-15 08:09:08,11.353s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-15 08:08:57,2019-05-15 08:08:57,0.013s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-15 08:08:57,2019-05-15 08:08:57,0.047s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:08:57,2019-05-15 08:09:00,3.002s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-15 08:09:00,2019-05-15 08:09:00,0.033s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:09:00,2019-05-15 08:09:03,3.001s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/2_Product_Hierarchy_Level_Hoverover_Option""))",Chrome 74.0.3729.131,,,2019-05-15 08:09:03,2019-05-15 08:09:03,0.034s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-15 08:09:03,2019-05-15 08:09:05,2.002s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/Product Hierarchy Level/td_Planning_product""))",Chrome 74.0.3729.131,,,2019-05-15 08:09:05,2019-05-15 08:09:05,0.090s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-15 08:09:05,2019-05-15 08:09:05,0.006s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:09:05,2019-05-15 08:09:08,3.002s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-4_Sub_Planning_Product,Chrome 74.0.3729.131,This test case will open page product summary.,,2019-05-15 08:09:08,2019-05-15 08:09:21,12.385s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-15 08:09:09,2019-05-15 08:09:09,0.008s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-15 08:09:09,2019-05-15 08:09:09,0.049s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-15 08:09:09,2019-05-15 08:09:13,4.004s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-15 08:09:13,2019-05-15 08:09:13,0.066s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-15 08:09:13,2019-05-15 08:09:16,3.002s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/2_Product_Hierarchy_Level_Hoverover_Option""))",Chrome 74.0.3729.131,,,2019-05-15 08:09:16,2019-05-15 08:09:16,0.035s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-15 08:09:16,2019-05-15 08:09:18,2.006s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/Product Hierarchy Level/td_Sub_Planning_Product""))",Chrome 74.0.3729.131,,,2019-05-15 08:09:18,2019-05-15 08:09:18,0.084s,PASSED
