Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Open_All_Pages,Chrome 74.0.3729.131,,,2019-05-10 06:59:00,2019-05-10 06:59:55,54.229s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_1_Open_JMS_Sales_Organisation,Chrome 74.0.3729.131,This test case will open JMS Sales organistion page.,,2019-05-10 06:59:01,2019-05-10 06:59:17,16.292s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-10 06:59:01,2019-05-10 06:59:07,6.098s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:07,2019-05-10 06:59:08,0.678s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:59:08,2019-05-10 06:59:11,3.004s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:11,2019-05-10 06:59:11,0.067s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:59:11,2019-05-10 06:59:14,3.005s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/1_Menu_JMS_Sales_Organisation""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:14,2019-05-10 06:59:14,0.112s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:59:14,2019-05-10 06:59:17,3.003s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-1_Total_Company,Chrome 74.0.3729.131,This test case will open total company page by going into the Product Hierarchy level.,,2019-05-10 06:59:17,2019-05-10 06:59:25,8.477s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-10 06:59:17,2019-05-10 06:59:17,0.063s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:17,2019-05-10 06:59:17,0.031s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:59:17,2019-05-10 06:59:20,3.004s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:20,2019-05-10 06:59:20,0.075s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:59:20,2019-05-10 06:59:23,3.005s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/2_Product_Hierarchy_Level,_Hoverover_Option""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:23,2019-05-10 06:59:23,0.064s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-10 06:59:23,2019-05-10 06:59:25,2.003s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/Planning_Account/td_total_company""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:25,2019-05-10 06:59:25,0.093s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-10 06:59:25,2019-05-10 06:59:25,0.008s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_3_Open_Product_Visibility_list,Chrome 74.0.3729.131,This test case will open the product visibiltiy list page.,,2019-05-10 06:59:25,2019-05-10 06:59:43,17.360s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-10 06:59:26,2019-05-10 06:59:32,6.004s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:32,2019-05-10 06:59:32,0.066s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:59:32,2019-05-10 06:59:35,3.002s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:35,2019-05-10 06:59:35,0.067s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:59:35,2019-05-10 06:59:38,3.003s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/3_Menu_Product_Visibility_list""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:38,2019-05-10 06:59:38,0.094s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-10 06:59:38,2019-05-10 06:59:38,0.010s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-10 06:59:38,2019-05-10 06:59:43,5.002s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_4_Open_Adjustable_Rate_Policy,Chrome 74.0.3729.131,This test case will open the adjustable rate policy page.,,2019-05-10 06:59:43,2019-05-10 06:59:55,11.909s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-10 06:59:43,2019-05-10 06:59:49,6.003s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:49,2019-05-10 06:59:49,0.071s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-10 06:59:49,2019-05-10 06:59:49,0.009s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:49,2019-05-10 06:59:49,0.043s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-10 06:59:49,2019-05-10 06:59:49,0.008s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/4_Menu_Adjustable_rate_policy""))",Chrome 74.0.3729.131,,,2019-05-10 06:59:49,2019-05-10 06:59:50,0.634s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-10 06:59:50,2019-05-10 06:59:50,0.014s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-10 06:59:50,2019-05-10 06:59:55,5.003s,PASSED
