Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Open_All_Pages,Chrome 74.0.3729.131,,,2019-05-14 06:20:45,2019-05-14 06:23:01,2m - 16.349s,PASSED
,,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 74.0.3729.131,,,2019-05-14 06:20:45,2019-05-14 06:21:05,19.556s,PASSED
"com.oracledb.regressiontest.LoginTFProduct(User, Password)",Chrome 74.0.3729.131,,,2019-05-14 06:20:45,2019-05-14 06:21:05,19.160s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_1_Open_JMS_Sales_Organisation,Chrome 74.0.3729.131,This test case will open JMS Sales organistion page.,,2019-05-14 06:21:05,2019-05-14 06:21:24,19.329s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-14 06:21:05,2019-05-14 06:21:11,6.340s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-14 06:21:11,2019-05-14 06:21:14,3.156s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-14 06:21:14,2019-05-14 06:21:17,3.173s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-14 06:21:17,2019-05-14 06:21:18,0.068s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-14 06:21:18,2019-05-14 06:21:21,3.172s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/1_Menu_JMS_Sales_Organisation""))",Chrome 74.0.3729.131,,,2019-05-14 06:21:21,2019-05-14 06:21:21,0.088s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-14 06:21:21,2019-05-14 06:21:21,0.010s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-14 06:21:21,2019-05-14 06:21:24,3.171s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-1_Total_Company,Chrome 74.0.3729.131,This test case will open total company page by going into the Product Hierarchy level.,,2019-05-14 06:21:24,2019-05-14 06:21:40,16.140s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-14 06:21:24,2019-05-14 06:21:29,4.749s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-14 06:21:29,2019-05-14 06:21:29,0.045s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-14 06:21:29,2019-05-14 06:21:32,3.003s,PASSED
