Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 69.0.3497.100,,2018-10-29 12:10:52,2018-10-29 12:11:29,37.156s,FAILED
,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 69.0.3497.100,,2018-10-29 12:10:52,2018-10-29 12:11:15,23.267s,PASSED
tradeFunds.TradeFunds.LoginTFCustomer,Chrome 69.0.3497.100,,2018-10-29 12:10:52,2018-10-29 12:11:15,23.047s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 69.0.3497.100,,2018-10-29 12:11:15,2018-10-29 12:11:29,13.643s,FAILED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-29 12:11:15,2018-10-29 12:11:15,0.014s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-29 12:11:15,2018-10-29 12:11:16,0.647s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-29 12:11:16,2018-10-29 12:11:16,0.006s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-29 12:11:16,2018-10-29 12:11:17,1.098s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-29 12:11:17,2018-10-29 12:11:17,0.007s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 12:11:17,2018-10-29 12:11:18,0.626s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-29 12:11:18,2018-10-29 12:11:18,0.008s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 12:11:18,2018-10-29 12:11:18,0.080s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 12:11:18,2018-10-29 12:11:23,5.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 12:11:23,2018-10-29 12:11:23,0.003s,NOT_RUN
delay,Chrome 69.0.3497.100,,2018-10-29 12:11:23,2018-10-29 12:11:23,0.004s,NOT_RUN
setText,Chrome 69.0.3497.100,,2018-10-29 12:11:23,2018-10-29 12:11:25,2.322s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 12:11:25,2018-10-29 12:11:27,2.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 12:11:27,2018-10-29 12:11:27,0.003s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-10-29 12:11:27,2018-10-29 12:11:27,0.191s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 12:11:27,2018-10-29 12:11:28,1.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 12:11:28,2018-10-29 12:11:29,0.498s,FAILED
