Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 67.0.3396.99,,2018-07-27 20:47:10,2018-07-27 20:48:16,1m - 5.996s,FAILED
,,,,,,
Test Cases/General_Login_Logout/TC_1_Login,Chrome 67.0.3396.99,,2018-07-27 20:47:10,2018-07-27 20:47:33,22.236s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-27 20:47:11,2018-07-27 20:47:18,7.146s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-27 20:47:18,2018-07-27 20:47:18,0.116s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-27 20:47:18,2018-07-27 20:47:19,1.131s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-27 20:47:19,2018-07-27 20:47:19,0.072s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 20:47:19,2018-07-27 20:47:19,0.170s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 20:47:19,2018-07-27 20:47:19,0.101s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 20:47:19,2018-07-27 20:47:19,0.067s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-27 20:47:19,2018-07-27 20:47:19,0.006s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 20:47:19,2018-07-27 20:47:30,11.011s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 20:47:30,2018-07-27 20:47:33,2.156s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 67.0.3396.99,,2018-07-27 20:47:33,2018-07-27 20:47:34,0.970s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-27 20:47:33,2018-07-27 20:47:33,0.028s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-27 20:47:33,2018-07-27 20:47:33,0.138s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-27 20:47:33,2018-07-27 20:47:33,0.006s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-27 20:47:33,2018-07-27 20:47:33,0.047s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-27 20:47:33,2018-07-27 20:47:33,0.006s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 20:47:33,2018-07-27 20:47:34,0.620s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-27 20:47:34,2018-07-27 20:47:34,0.006s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 20:47:34,2018-07-27 20:47:34,0.002s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Open_RGM_Designated_Baseline,Chrome 67.0.3396.99,,2018-07-27 20:47:34,2018-07-27 20:47:34,0.819s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-27 20:47:34,2018-07-27 20:47:34,0.006s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-27 20:47:34,2018-07-27 20:47:34,0.034s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-27 20:47:34,2018-07-27 20:47:34,0.006s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-27 20:47:34,2018-07-27 20:47:34,0.040s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-27 20:47:34,2018-07-27 20:47:34,0.005s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 20:47:34,2018-07-27 20:47:34,0.610s,PASSED
