Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 66.0.3359.139,,2018-05-11 13:06:20,2018-05-11 13:08:39,2m - 19.256s,FAILED
,,,,,,
Test Cases/General_Login_Logout/TC_1_Login,Chrome 66.0.3359.139,,2018-05-11 13:06:20,2018-05-11 13:06:45,24.734s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-11 13:06:21,2018-05-11 13:06:30,9.596s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:06:30,2018-05-11 13:06:30,0.071s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-11 13:06:30,2018-05-11 13:06:31,1.154s,PASSED
waitForElementClickable,Chrome 66.0.3359.139,,2018-05-11 13:06:31,2018-05-11 13:06:31,0.061s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 13:06:31,2018-05-11 13:06:32,0.106s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 13:06:32,2018-05-11 13:06:32,0.096s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:06:32,2018-05-11 13:06:32,0.064s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:06:32,2018-05-11 13:06:32,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:06:32,2018-05-11 13:06:43,11.312s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-11 13:06:43,2018-05-11 13:06:45,2.011s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 66.0.3359.139,,2018-05-11 13:06:45,2018-05-11 13:06:49,4.117s,FAILED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:06:45,2018-05-11 13:06:45,0.008s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:06:45,2018-05-11 13:06:49,4.047s,FAILED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Open_RGM_Designated_Baseline,Chrome 66.0.3359.139,,2018-05-11 13:06:49,2018-05-11 13:07:21,31.844s,FAILED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:06:49,2018-05-11 13:06:49,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:06:49,2018-05-11 13:07:21,31.756s,FAILED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_3_Open_JMS_Sales_Org,Chrome 66.0.3359.139,,2018-05-11 13:07:21,2018-05-11 13:07:31,10.113s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:07:21,2018-05-11 13:07:21,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:07:21,2018-05-11 13:07:31,10.054s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_4_Open_Consumption_Baseline_Source,Chrome 66.0.3359.139,,2018-05-11 13:07:31,2018-05-11 13:07:38,6.935s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:07:31,2018-05-11 13:07:31,0.007s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:07:31,2018-05-11 13:07:38,6.868s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_5_Open_Corporate_Customer,Chrome 66.0.3359.139,,2018-05-11 13:07:38,2018-05-11 13:07:42,4.330s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:07:38,2018-05-11 13:07:38,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:07:38,2018-05-11 13:07:42,4.268s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_6_Open_SHL1_SBU,Chrome 66.0.3359.139,,2018-05-11 13:07:42,2018-05-11 13:08:14,31.866s,FAILED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:07:42,2018-05-11 13:07:42,0.005s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:07:42,2018-05-11 13:08:14,31.807s,FAILED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_7_Open_SHL2_Sales_Segment,Chrome 66.0.3359.139,,2018-05-11 13:08:14,2018-05-11 13:08:26,12.201s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:08:14,2018-05-11 13:08:14,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:08:14,2018-05-11 13:08:26,12.131s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_8_Open_SHL3_Sales_Division,Chrome 66.0.3359.139,,2018-05-11 13:08:26,2018-05-11 13:08:30,3.285s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 13:08:27,2018-05-11 13:08:27,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 13:08:27,2018-05-11 13:08:30,3.208s,PASSED
,,,,,,
