Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 70.0.3538.77,,2018-11-05 15:53:38,2018-11-05 15:54:29,51.211s,FAILED
,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 70.0.3538.77,,2018-11-05 15:53:38,2018-11-05 15:54:03,25.386s,PASSED
tradeFunds.TF_Regression.LoginTFCustomer,Chrome 70.0.3538.77,,2018-11-05 15:53:38,2018-11-05 15:54:03,25.163s,PASSED
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-05 15:54:03,2018-11-05 15:54:29,25.576s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-05 15:54:04,2018-11-05 15:54:04,0.019s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-05 15:54:04,2018-11-05 15:54:04,0.096s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-05 15:54:04,2018-11-05 15:54:04,0.006s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-05 15:54:04,2018-11-05 15:54:06,2.147s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-05 15:54:06,2018-11-05 15:54:06,0.007s,PASSED
click,Chrome 70.0.3538.77,,2018-11-05 15:54:06,2018-11-05 15:54:06,0.610s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-05 15:54:06,2018-11-05 15:54:06,0.008s,PASSED
click,Chrome 70.0.3538.77,,2018-11-05 15:54:06,2018-11-05 15:54:07,0.075s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-05 15:54:07,2018-11-05 15:54:12,5.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-05 15:54:12,2018-11-05 15:54:12,0.005s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-05 15:54:12,2018-11-05 15:54:12,0.002s,NOT_RUN
setText,Chrome 70.0.3538.77,,2018-11-05 15:54:12,2018-11-05 15:54:22,10.678s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-05 15:54:22,2018-11-05 15:54:24,2.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-05 15:54:24,2018-11-05 15:54:24,0.004s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-05 15:54:24,2018-11-05 15:54:24,0.159s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-05 15:54:24,2018-11-05 15:54:25,1.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-05 15:54:25,2018-11-05 15:54:26,0.160s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-05 15:54:26,2018-11-05 15:54:29,3.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-05 15:54:29,2018-11-05 15:54:29,0.438s,FAILED
