Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Open_All_Pages,Chrome 74.0.3729.131,,,2019-05-13 09:26:06,2019-05-13 09:29:00,2m - 54.114s,FAILED
,,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 74.0.3729.131,,,2019-05-13 09:26:07,2019-05-13 09:26:25,18.494s,PASSED
"com.oracledb.regressiontest.LoginTFProduct(User, Password)",Chrome 74.0.3729.131,,,2019-05-13 09:26:07,2019-05-13 09:26:25,18.121s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_1_Open_JMS_Sales_Organisation,Chrome 74.0.3729.131,This test case will open JMS Sales organistion page.,,2019-05-13 09:26:25,2019-05-13 09:26:42,17.177s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-13 09:26:25,2019-05-13 09:26:31,6.003s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-13 09:26:31,2019-05-13 09:26:33,1.855s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-13 09:26:33,2019-05-13 09:26:36,3.005s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-13 09:26:36,2019-05-13 09:26:36,0.073s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-13 09:26:36,2019-05-13 09:26:39,3.003s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/1_Menu_JMS_Sales_Organisation""))",Chrome 74.0.3729.131,,,2019-05-13 09:26:39,2019-05-13 09:26:39,0.082s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-13 09:26:39,2019-05-13 09:26:39,0.011s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-13 09:26:39,2019-05-13 09:26:42,3.002s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-1_Total_Company,Chrome 74.0.3729.131,This test case will open total company page by going into the Product Hierarchy level.,,2019-05-13 09:26:42,2019-05-13 09:27:20,38.019s,FAILED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-13 09:26:42,2019-05-13 09:26:45,3.191s,PASSED
