Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 69.0.3497.100,,2018-10-30 13:17:44,2018-10-30 13:18:30,46.094s,PASSED
,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 69.0.3497.100,,2018-10-30 13:17:44,2018-10-30 13:18:11,26.298s,PASSED
tradeFunds.TradeFunds.LoginTFCustomer,Chrome 69.0.3497.100,,2018-10-30 13:17:45,2018-10-30 13:18:11,26.083s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 69.0.3497.100,,2018-10-30 13:18:11,2018-10-30 13:18:30,19.562s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 13:18:11,2018-10-30 13:18:11,0.018s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-30 13:18:11,2018-10-30 13:18:12,1.084s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 13:18:12,2018-10-30 13:18:12,0.006s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-30 13:18:12,2018-10-30 13:18:13,1.165s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 13:18:13,2018-10-30 13:18:13,0.008s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:13,2018-10-30 13:18:14,0.658s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 13:18:14,2018-10-30 13:18:14,0.008s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:14,2018-10-30 13:18:14,0.083s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 13:18:14,2018-10-30 13:18:19,5.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:19,2018-10-30 13:18:19,0.006s,NOT_RUN
delay,Chrome 69.0.3497.100,,2018-10-30 13:18:19,2018-10-30 13:18:19,0.003s,NOT_RUN
setText,Chrome 69.0.3497.100,,2018-10-30 13:18:19,2018-10-30 13:18:24,4.925s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 13:18:24,2018-10-30 13:18:26,2.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:26,2018-10-30 13:18:26,0.004s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-10-30 13:18:26,2018-10-30 13:18:26,0.157s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 13:18:26,2018-10-30 13:18:27,1.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:27,2018-10-30 13:18:27,0.127s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 13:18:27,2018-10-30 13:18:30,3.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:30,2018-10-30 13:18:30,0.158s,PASSED
