Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 70.0.3538.77,,2018-11-08 11:28:33,2018-11-08 11:29:41,1m - 8.262s,FAILED
,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 70.0.3538.77,,2018-11-08 11:28:33,2018-11-08 11:29:00,26.793s,PASSED
tradeFunds.TF_Regression.LoginTFCustomer,Chrome 70.0.3538.77,,2018-11-08 11:28:34,2018-11-08 11:29:00,26.587s,PASSED
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-08 11:29:00,2018-11-08 11:29:41,41.220s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 11:29:00,2018-11-08 11:29:00,0.013s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 11:29:00,2018-11-08 11:29:01,0.606s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 11:29:01,2018-11-08 11:29:01,0.009s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 11:29:01,2018-11-08 11:29:03,1.616s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 11:29:03,2018-11-08 11:29:03,0.009s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 11:29:03,2018-11-08 11:29:03,0.618s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 11:29:03,2018-11-08 11:29:03,0.015s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 11:29:03,2018-11-08 11:29:03,0.066s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 11:29:03,2018-11-08 11:29:04,1.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 11:29:04,2018-11-08 11:29:04,0.003s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 11:29:04,2018-11-08 11:29:09,5.028s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 11:29:09,2018-11-08 11:29:41,32.060s,FAILED
