Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Open_All_Pages,Chrome 74.0.3729.157,,,2019-05-16 08:23:40,2019-05-16 08:31:03,7m - 23.070s,FAILED
,,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 74.0.3729.157,,,2019-05-16 08:23:40,2019-05-16 08:26:02,2m - 21.404s,FAILED
"com.oracledb.regressiontest.LoginTFProduct(User, Password)",Chrome 74.0.3729.157,,,2019-05-16 08:23:41,2019-05-16 08:26:02,2m - 21.058s,FAILED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_1_Open_JMS_Sales_Organisation,Chrome 74.0.3729.157,This test case will open JMS Sales organistion page.,,2019-05-16 08:26:02,2019-05-16 08:26:40,37.892s,FAILED
delay(6),Chrome 74.0.3729.157,,,2019-05-16 08:26:02,2019-05-16 08:26:08,6.012s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.157,,,2019-05-16 08:26:08,2019-05-16 08:26:40,31.766s,FAILED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-1_Total_Company,Chrome 74.0.3729.157,This test case will open total company page by going into the Product Hierarchy level.,,2019-05-16 08:26:40,2019-05-16 08:27:11,31.486s,FAILED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.157,,,2019-05-16 08:26:40,2019-05-16 08:26:40,0.011s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.157,,,2019-05-16 08:26:40,2019-05-16 08:27:11,31.360s,FAILED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-2_Product_Summary,Chrome 74.0.3729.157,This test case will open page product summary.,,2019-05-16 08:27:11,2019-05-16 08:27:43,31.568s,FAILED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.157,,,2019-05-16 08:27:11,2019-05-16 08:27:11,0.007s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.157,,,2019-05-16 08:27:11,2019-05-16 08:27:43,31.471s,FAILED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-3_Planning_Product,Chrome 74.0.3729.157,This test case will open page product summary.,,2019-05-16 08:27:43,2019-05-16 08:28:14,31.399s,FAILED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.157,,,2019-05-16 08:27:43,2019-05-16 08:27:43,0.008s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.157,,,2019-05-16 08:27:43,2019-05-16 08:28:14,31.298s,FAILED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-4_Sub_Planning_Product,Chrome 74.0.3729.157,This test case will open page product summary.,,2019-05-16 08:28:14,2019-05-16 08:28:45,31.307s,FAILED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.157,,,2019-05-16 08:28:14,2019-05-16 08:28:14,0.008s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.157,,,2019-05-16 08:28:14,2019-05-16 08:28:45,31.197s,FAILED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-5_Promoted_Product_Group,Chrome 74.0.3729.157,This test case will open page product summary.,,2019-05-16 08:28:45,2019-05-16 08:29:17,31.334s,FAILED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.157,,,2019-05-16 08:28:45,2019-05-16 08:28:45,0.007s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.157,,,2019-05-16 08:28:45,2019-05-16 08:29:17,31.237s,FAILED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_3_Open_Product_Visibility_list,Chrome 74.0.3729.157,This test case will open the product visibiltiy list page.,,2019-05-16 08:29:17,2019-05-16 08:29:54,37.342s,FAILED
delay(6),Chrome 74.0.3729.157,,,2019-05-16 08:29:17,2019-05-16 08:29:23,6.001s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.157,,,2019-05-16 08:29:23,2019-05-16 08:29:54,31.234s,FAILED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_4_Open_Adjustable_Rate_Policy,Chrome 74.0.3729.157,This test case will open the adjustable rate policy page.,,2019-05-16 08:29:54,2019-05-16 08:30:31,37.527s,FAILED
delay(6),Chrome 74.0.3729.157,,,2019-05-16 08:29:54,2019-05-16 08:30:00,6.003s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.157,,,2019-05-16 08:30:00,2019-05-16 08:30:31,31.409s,FAILED
,,,,,,,
Test Cases/General_Login_Logout/Logout,Chrome 74.0.3729.157,,,2019-05-16 08:30:32,2019-05-16 08:31:03,31.621s,FAILED
com.oracledb.regressiontest.logoutTFProduct(),Chrome 74.0.3729.157,,,2019-05-16 08:30:32,2019-05-16 08:31:03,31.532s,FAILED
