Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 66.0.3359.139,,2018-05-11 17:59:41,2018-05-11 18:05:35,5m - 53.805s,FAILED
,,,,,,
Test Cases/General_Login_Logout/TC_1_Login,Chrome 66.0.3359.139,,2018-05-11 17:59:42,2018-05-11 18:00:07,25.670s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-11 17:59:42,2018-05-11 17:59:51,9.339s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 17:59:51,2018-05-11 17:59:51,0.078s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-11 17:59:51,2018-05-11 17:59:52,1.157s,PASSED
waitForElementClickable,Chrome 66.0.3359.139,,2018-05-11 17:59:52,2018-05-11 17:59:53,0.063s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 17:59:53,2018-05-11 17:59:53,0.090s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 17:59:53,2018-05-11 17:59:53,0.091s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 17:59:53,2018-05-11 17:59:53,0.066s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 17:59:53,2018-05-11 17:59:53,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 17:59:53,2018-05-11 18:00:05,12.546s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-11 18:00:05,2018-05-11 18:00:07,2.012s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 66.0.3359.139,,2018-05-11 18:00:07,2018-05-11 18:00:28,20.188s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:00:07,2018-05-11 18:00:07,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:00:07,2018-05-11 18:00:24,16.326s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:00:24,2018-05-11 18:00:24,0.010s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:00:24,2018-05-11 18:00:28,3.760s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Open_RGM_Designated_Baseline,Chrome 66.0.3359.139,,2018-05-11 18:00:28,2018-05-11 18:00:33,4.971s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:00:28,2018-05-11 18:00:28,0.008s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:00:28,2018-05-11 18:00:30,2.719s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:00:30,2018-05-11 18:00:30,0.005s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:00:30,2018-05-11 18:00:33,2.145s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_3_Open_JMS_Sales_Org,Chrome 66.0.3359.139,,2018-05-11 18:00:33,2018-05-11 18:00:57,24.794s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:00:33,2018-05-11 18:00:33,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:00:33,2018-05-11 18:00:56,23.577s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:00:56,2018-05-11 18:00:56,0.005s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:00:56,2018-05-11 18:00:57,1.108s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_4_Open_Consumption_Baseline_Source,Chrome 66.0.3359.139,,2018-05-11 18:00:57,2018-05-11 18:01:01,3.349s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:00:57,2018-05-11 18:00:57,0.011s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:00:57,2018-05-11 18:01:00,2.163s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:01:00,2018-05-11 18:01:00,0.006s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:01:00,2018-05-11 18:01:01,1.098s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_5_Open_Corporate_Customer,Chrome 66.0.3359.139,,2018-05-11 18:01:01,2018-05-11 18:01:04,3.343s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:01:01,2018-05-11 18:01:01,0.019s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:01:01,2018-05-11 18:01:03,2.157s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:01:03,2018-05-11 18:01:03,0.007s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:01:03,2018-05-11 18:01:04,1.081s,PASSED
,,,,,,
