Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 68.0.3440.106,,2018-08-17 17:37:44,2018-08-17 17:38:26,41.937s,PASSED
,,,,,,
Test Cases/General_Login_Logout/TC_1_Login,Chrome 68.0.3440.106,,2018-08-17 17:37:44,2018-08-17 17:38:13,29.133s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-17 17:37:44,2018-08-17 17:37:57,12.597s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:37:57,2018-08-17 17:37:57,0.118s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-17 17:37:57,2018-08-17 17:37:58,1.169s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-08-17 17:37:58,2018-08-17 17:37:58,0.092s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-17 17:37:58,2018-08-17 17:37:58,0.198s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-17 17:37:58,2018-08-17 17:37:58,0.112s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 17:37:58,2018-08-17 17:37:59,0.154s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:37:59,2018-08-17 17:37:59,0.008s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 17:37:59,2018-08-17 17:38:11,12.447s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-17 17:38:11,2018-08-17 17:38:13,2.026s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 68.0.3440.106,,2018-08-17 17:38:13,2018-08-17 17:38:14,1.413s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:13,2018-08-17 17:38:13,0.009s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:13,2018-08-17 17:38:13,0.106s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:13,2018-08-17 17:38:13,0.007s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:13,2018-08-17 17:38:14,0.558s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:14,2018-08-17 17:38:14,0.009s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 17:38:14,2018-08-17 17:38:14,0.605s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:14,2018-08-17 17:38:14,0.009s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-17 17:38:14,2018-08-17 17:38:14,0.001s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Open_RGM_Designated_Baseline,Chrome 68.0.3440.106,,2018-08-17 17:38:14,2018-08-17 17:38:15,0.770s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:14,2018-08-17 17:38:15,0.008s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.026s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.005s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.037s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.004s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.589s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.009s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.000s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_3_Open_JMS_Sales_Org,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:16,0.782s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.007s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.041s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.006s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.041s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:15,0.007s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 17:38:15,2018-08-17 17:38:16,0.603s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:16,2018-08-17 17:38:16,0.010s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-17 17:38:16,2018-08-17 17:38:16,0.000s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_4_Open_Consumption_Baseline_Source,Chrome 68.0.3440.106,,2018-08-17 17:38:16,2018-08-17 17:38:17,0.784s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:16,2018-08-17 17:38:16,0.012s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:16,2018-08-17 17:38:16,0.031s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:16,2018-08-17 17:38:16,0.006s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:16,2018-08-17 17:38:16,0.038s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:16,2018-08-17 17:38:16,0.005s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 17:38:16,2018-08-17 17:38:17,0.606s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:17,2018-08-17 17:38:17,0.010s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-17 17:38:17,2018-08-17 17:38:17,0.000s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_5_Open_Corporate_Customer,Chrome 68.0.3440.106,,2018-08-17 17:38:17,2018-08-17 17:38:18,0.801s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:17,2018-08-17 17:38:17,0.008s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:17,2018-08-17 17:38:17,0.040s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:17,2018-08-17 17:38:17,0.005s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:17,2018-08-17 17:38:17,0.041s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:17,2018-08-17 17:38:17,0.005s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 17:38:17,2018-08-17 17:38:18,0.595s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:18,0.008s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:18,0.001s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_6_Open_SHL1_SBU,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:19,1.372s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:18,0.006s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:18,0.030s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:18,0.005s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:18,0.057s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:18,0.005s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:18,0.579s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-17 17:38:18,2018-08-17 17:38:18,0.008s,PASSED
