Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 66.0.3359.139,,2018-05-11 12:24:52,2018-05-11 12:26:40,1m - 48.315s,FAILED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Login,Chrome 66.0.3359.139,,2018-05-11 12:24:52,2018-05-11 12:25:27,34.703s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-11 12:24:52,2018-05-11 12:25:08,15.433s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:25:08,2018-05-11 12:25:08,0.076s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-11 12:25:08,2018-05-11 12:25:09,1.152s,PASSED
waitForElementClickable,Chrome 66.0.3359.139,,2018-05-11 12:25:09,2018-05-11 12:25:09,0.053s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 12:25:09,2018-05-11 12:25:09,0.094s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 12:25:09,2018-05-11 12:25:09,0.078s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:25:09,2018-05-11 12:25:09,0.051s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:25:09,2018-05-11 12:25:09,0.005s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:25:09,2018-05-11 12:25:25,15.553s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-11 12:25:25,2018-05-11 12:25:27,2.012s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Open_All_Pages,Chrome 66.0.3359.139,,2018-05-11 12:25:27,2018-05-11 12:26:39,1m - 12.360s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:25:27,2018-05-11 12:25:27,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:25:27,2018-05-11 12:25:47,19.941s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:25:47,2018-05-11 12:25:47,0.008s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:25:47,2018-05-11 12:25:52,5.325s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:25:52,2018-05-11 12:25:52,0.014s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:25:52,2018-05-11 12:25:58,5.322s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:25:58,2018-05-11 12:25:58,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:25:58,2018-05-11 12:26:02,4.283s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:26:02,2018-05-11 12:26:02,0.005s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:26:02,2018-05-11 12:26:06,3.743s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:26:06,2018-05-11 12:26:06,0.005s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:26:06,2018-05-11 12:26:15,9.506s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:26:15,2018-05-11 12:26:15,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:26:15,2018-05-11 12:26:20,4.768s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:26:20,2018-05-11 12:26:20,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:26:20,2018-05-11 12:26:24,4.268s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:26:24,2018-05-11 12:26:24,0.005s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:26:24,2018-05-11 12:26:29,4.845s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:26:29,2018-05-11 12:26:29,0.010s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:26:29,2018-05-11 12:26:34,4.813s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:26:34,2018-05-11 12:26:34,0.005s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:26:34,2018-05-11 12:26:38,4.280s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:26:38,2018-05-11 12:26:38,0.005s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:26:38,2018-05-11 12:26:39,0.621s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 12:26:39,2018-05-11 12:26:39,0.007s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_9_Logout,Chrome 66.0.3359.139,,2018-05-11 12:26:39,2018-05-11 12:26:39,0.429s,FAILED
waitForElementClickable,Chrome 66.0.3359.139,,2018-05-11 12:26:39,2018-05-11 12:26:39,0.026s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:26:39,2018-05-11 12:26:39,0.346s,FAILED
