Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 70.0.3538.77,,2018-11-07 19:04:58,2018-11-07 19:06:15,1m - 16.492s,FAILED
,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 70.0.3538.77,,2018-11-07 19:04:59,2018-11-07 19:05:19,20.034s,PASSED
tradeFunds.TF_Regression.LoginTFCustomer,Chrome 70.0.3538.77,,2018-11-07 19:04:59,2018-11-07 19:05:19,19.819s,PASSED
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-07 19:05:19,2018-11-07 19:06:15,56.212s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-07 19:05:19,2018-11-07 19:05:19,0.014s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-07 19:05:19,2018-11-07 19:05:19,0.598s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-07 19:05:19,2018-11-07 19:05:19,0.006s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-07 19:05:19,2018-11-07 19:05:41,21.909s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-07 19:05:41,2018-11-07 19:05:41,0.008s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 19:05:41,2018-11-07 19:05:42,0.626s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-07 19:05:42,2018-11-07 19:05:42,0.008s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 19:05:42,2018-11-07 19:05:42,0.061s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-07 19:05:42,2018-11-07 19:05:43,1.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 19:05:43,2018-11-07 19:05:43,0.002s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-07 19:05:43,2018-11-07 19:05:43,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-07 19:05:43,2018-11-07 19:06:15,31.792s,FAILED
