Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Firefox 59.0,,2018-10-23 15:32:27,2018-10-23 15:33:29,1m - 1.405s,PASSED
,,,,,,
Test Cases/General_Login_Logout/TC_1_Login,Firefox 59.0,,2018-10-23 15:32:28,2018-10-23 15:33:10,41.940s,PASSED
openBrowser,Firefox 59.0,,2018-10-23 15:32:28,2018-10-23 15:32:42,14.034s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:32:42,2018-10-23 15:32:42,0.136s,PASSED
maximizeWindow,Firefox 59.0,,2018-10-23 15:32:42,2018-10-23 15:32:42,0.085s,PASSED
waitForElementClickable,Firefox 59.0,,2018-10-23 15:32:42,2018-10-23 15:32:42,0.103s,PASSED
setText,Firefox 59.0,,2018-10-23 15:32:42,2018-10-23 15:32:42,0.104s,PASSED
setText,Firefox 59.0,,2018-10-23 15:32:42,2018-10-23 15:32:42,0.055s,PASSED
click,Firefox 59.0,,2018-10-23 15:32:42,2018-10-23 15:32:43,0.242s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:32:43,2018-10-23 15:32:43,0.008s,PASSED
click,Firefox 59.0,,2018-10-23 15:32:43,2018-10-23 15:33:08,24.908s,PASSED
delay,Firefox 59.0,,2018-10-23 15:33:08,2018-10-23 15:33:10,2.027s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Firefox 59.0,,2018-10-23 15:33:10,2018-10-23 15:33:13,3.204s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:10,2018-10-23 15:33:10,0.009s,PASSED
mouseOver,Firefox 59.0,,2018-10-23 15:33:10,2018-10-23 15:33:10,0.151s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:10,2018-10-23 15:33:10,0.006s,PASSED
mouseOver,Firefox 59.0,,2018-10-23 15:33:10,2018-10-23 15:33:12,2.153s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:12,2018-10-23 15:33:12,0.007s,PASSED
click,Firefox 59.0,,2018-10-23 15:33:12,2018-10-23 15:33:13,0.759s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:13,2018-10-23 15:33:13,0.009s,PASSED
verifyElementPresent,Firefox 59.0,,2018-10-23 15:33:13,2018-10-23 15:33:13,0.000s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Open_RGM_Designated_Baseline,Firefox 59.0,,2018-10-23 15:33:13,2018-10-23 15:33:14,1.678s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:13,2018-10-23 15:33:13,0.008s,PASSED
mouseOver,Firefox 59.0,,2018-10-23 15:33:13,2018-10-23 15:33:13,0.128s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:13,2018-10-23 15:33:13,0.011s,PASSED
mouseOver,Firefox 59.0,,2018-10-23 15:33:13,2018-10-23 15:33:13,0.131s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:13,2018-10-23 15:33:13,0.006s,PASSED
click,Firefox 59.0,,2018-10-23 15:33:13,2018-10-23 15:33:14,1.271s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:14,2018-10-23 15:33:14,0.020s,PASSED
verifyElementPresent,Firefox 59.0,,2018-10-23 15:33:14,2018-10-23 15:33:14,0.001s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_3_Open_JMS_Sales_Org,Firefox 59.0,,2018-10-23 15:33:14,2018-10-23 15:33:16,1.152s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:15,2018-10-23 15:33:15,0.009s,PASSED
mouseOver,Firefox 59.0,,2018-10-23 15:33:15,2018-10-23 15:33:15,0.130s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:15,2018-10-23 15:33:15,0.006s,PASSED
mouseOver,Firefox 59.0,,2018-10-23 15:33:15,2018-10-23 15:33:15,0.130s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:15,2018-10-23 15:33:15,0.007s,PASSED
click,Firefox 59.0,,2018-10-23 15:33:15,2018-10-23 15:33:16,0.775s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:16,2018-10-23 15:33:16,0.016s,PASSED
verifyElementPresent,Firefox 59.0,,2018-10-23 15:33:16,2018-10-23 15:33:16,0.001s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_4_Open_Consumption_Baseline_Source,Firefox 59.0,,2018-10-23 15:33:16,2018-10-23 15:33:17,1.152s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:16,2018-10-23 15:33:16,0.006s,PASSED
mouseOver,Firefox 59.0,,2018-10-23 15:33:16,2018-10-23 15:33:16,0.128s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:16,2018-10-23 15:33:16,0.007s,PASSED
mouseOver,Firefox 59.0,,2018-10-23 15:33:16,2018-10-23 15:33:16,0.154s,PASSED
waitForPageLoad,Firefox 59.0,,2018-10-23 15:33:16,2018-10-23 15:33:16,0.006s,PASSED
click,Firefox 59.0,,2018-10-23 15:33:16,2018-10-23 15:33:17,0.765s,PASSED
