Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 70.0.3538.77,,2018-11-08 17:59:21,2018-11-08 18:02:04,2m - 43.172s,FAILED
,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 70.0.3538.77,,2018-11-08 17:59:21,2018-11-08 17:59:47,25.719s,PASSED
tradeFunds.TF_Regression.LoginTFCustomer,Chrome 70.0.3538.77,,2018-11-08 17:59:21,2018-11-08 17:59:47,25.504s,PASSED
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-08 17:59:47,2018-11-08 18:00:01,13.747s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 17:59:47,2018-11-08 17:59:47,0.015s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 17:59:47,2018-11-08 17:59:48,0.573s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 17:59:48,2018-11-08 17:59:48,0.006s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 17:59:48,2018-11-08 17:59:56,7.827s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 17:59:56,2018-11-08 17:59:56,0.008s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 17:59:56,2018-11-08 17:59:56,0.626s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 17:59:56,2018-11-08 17:59:56,0.007s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 17:59:56,2018-11-08 17:59:56,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 17:59:56,2018-11-08 17:59:56,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 17:59:56,2018-11-08 17:59:56,0.002s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 17:59:56,2018-11-08 17:59:56,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 17:59:56,2018-11-08 17:59:56,0.000s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 17:59:56,2018-11-08 17:59:59,3.002s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 17:59:59,2018-11-08 18:00:01,1.501s,FAILED
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:12,11.451s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.007s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.035s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.006s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.042s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.007s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.595s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.007s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:01,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:01,2018-11-08 18:00:04,3.003s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 18:00:04,2018-11-08 18:00:05,0.197s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:05,2018-11-08 18:00:07,2.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:07,2018-11-08 18:00:07,0.002s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:00:07,2018-11-08 18:00:07,0.150s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:07,2018-11-08 18:00:09,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:09,2018-11-08 18:00:09,0.135s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:09,2018-11-08 18:00:12,3.001s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,"Record has been saved successfully. 
",2018-11-08 18:00:12,2018-11-08 18:00:12,0.093s,FAILED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:12,0.136s,PASSED
"Statement - row_MTCH = CustomKeywords.tradeFunds.TF_Regression.verifyBanner(ora_connt, ora_usr, ora_psswrd, ora_schema)",Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:12,0.001s,NOT_RUN
"Statement - println(""MTCH_Banner_Name"")",Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:12,0.001s,NOT_RUN
verifyEqual,Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:12,0.000s,NOT_RUN
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:23,11.364s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:12,0.010s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:12,0.037s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:12,0.005s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:12,0.040s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:12,0.005s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:12,2018-11-08 18:00:13,0.574s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:13,2018-11-08 18:00:13,0.006s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:13,2018-11-08 18:00:13,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:13,2018-11-08 18:00:13,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:00:13,2018-11-08 18:00:13,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:13,2018-11-08 18:00:13,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:00:13,2018-11-08 18:00:13,0.000s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:13,2018-11-08 18:00:16,3.001s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 18:00:16,2018-11-08 18:00:16,0.171s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:16,2018-11-08 18:00:18,2.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:18,2018-11-08 18:00:18,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:00:18,2018-11-08 18:00:18,0.154s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:18,2018-11-08 18:00:20,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:20,2018-11-08 18:00:20,0.132s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:20,2018-11-08 18:00:23,3.000s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,"Record has been saved successfully. 
",2018-11-08 18:00:23,2018-11-08 18:00:23,0.046s,FAILED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:23,2018-11-08 18:00:23,0.155s,PASSED
"Statement - row_MTCH = CustomKeywords.tradeFunds.TF_Regression.verifyBanner(ora_connt, ora_usr, ora_psswrd, ora_schema)",Chrome 70.0.3538.77,,2018-11-08 18:00:23,2018-11-08 18:00:23,0.000s,NOT_RUN
"Statement - println(""MTCH_Banner_Name"")",Chrome 70.0.3538.77,,2018-11-08 18:00:23,2018-11-08 18:00:23,0.001s,NOT_RUN
verifyEqual,Chrome 70.0.3538.77,,2018-11-08 18:00:23,2018-11-08 18:00:23,0.000s,NOT_RUN
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-08 18:00:23,2018-11-08 18:00:55,31.712s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:24,2018-11-08 18:00:24,0.006s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:00:24,2018-11-08 18:00:24,0.038s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:24,2018-11-08 18:00:24,0.006s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:00:24,2018-11-08 18:00:55,31.652s,FAILED
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-08 18:00:55,2018-11-08 18:01:07,11.562s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:55,2018-11-08 18:00:55,0.007s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:00:55,2018-11-08 18:00:55,0.035s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:55,2018-11-08 18:00:55,0.021s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:00:55,2018-11-08 18:00:55,0.050s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:55,2018-11-08 18:00:55,0.007s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:55,2018-11-08 18:00:56,0.571s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:00:56,2018-11-08 18:00:56,0.006s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:00:56,2018-11-08 18:00:56,0.000s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:56,2018-11-08 18:00:56,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:00:56,2018-11-08 18:00:56,0.000s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:56,2018-11-08 18:00:56,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:00:56,2018-11-08 18:00:56,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:56,2018-11-08 18:00:59,3.001s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 18:00:59,2018-11-08 18:00:59,0.199s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:00:59,2018-11-08 18:01:01,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:01:01,2018-11-08 18:01:01,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:01:01,2018-11-08 18:01:01,0.224s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:01:01,2018-11-08 18:01:03,2.000s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:01:03,2018-11-08 18:01:03,0.126s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:01:03,2018-11-08 18:01:06,3.002s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,"Record has been saved successfully. 
",2018-11-08 18:01:06,2018-11-08 18:01:07,0.075s,FAILED
click,Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:07,0.215s,PASSED
"Statement - row_MTCH = CustomKeywords.tradeFunds.TF_Regression.verifyBanner(ora_connt, ora_usr, ora_psswrd, ora_schema)",Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:07,0.001s,NOT_RUN
"Statement - println(""MTCH_Banner_Name"")",Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:07,0.000s,NOT_RUN
verifyEqual,Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:07,0.001s,NOT_RUN
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:18,11.656s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:07,0.008s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:07,0.060s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:07,0.005s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:07,0.059s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:07,0.006s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:01:07,2018-11-08 18:01:08,0.610s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:01:08,2018-11-08 18:01:08,0.005s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:01:08,2018-11-08 18:01:08,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:01:08,2018-11-08 18:01:08,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:01:08,2018-11-08 18:01:08,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:01:08,2018-11-08 18:01:08,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:01:08,2018-11-08 18:01:08,0.000s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 18:01:08,2018-11-08 18:01:11,3.000s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 18:01:11,2018-11-08 18:01:11,0.261s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:01:11,2018-11-08 18:01:13,2.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:01:13,2018-11-08 18:01:13,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 18:01:13,2018-11-08 18:01:13,0.184s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:01:13,2018-11-08 18:01:15,2.000s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:01:15,2018-11-08 18:01:15,0.163s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 18:01:15,2018-11-08 18:01:18,3.001s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,"Record has been saved successfully. 
",2018-11-08 18:01:18,2018-11-08 18:01:18,0.067s,FAILED
click,Chrome 70.0.3538.77,,2018-11-08 18:01:18,2018-11-08 18:01:18,0.203s,PASSED
"Statement - row_MTCH = CustomKeywords.tradeFunds.TF_Regression.verifyBanner(ora_connt, ora_usr, ora_psswrd, ora_schema)",Chrome 70.0.3538.77,,2018-11-08 18:01:18,2018-11-08 18:01:18,0.001s,NOT_RUN
"Statement - println(""MTCH_Banner_Name"")",Chrome 70.0.3538.77,,2018-11-08 18:01:18,2018-11-08 18:01:18,0.000s,NOT_RUN
verifyEqual,Chrome 70.0.3538.77,,2018-11-08 18:01:18,2018-11-08 18:01:18,0.001s,NOT_RUN
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-08 18:01:18,2018-11-08 18:01:30,11.440s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:01:18,2018-11-08 18:01:18,0.013s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:01:18,2018-11-08 18:01:19,0.055s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:01:19,2018-11-08 18:01:19,0.010s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 18:01:19,2018-11-08 18:01:19,0.061s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:01:19,2018-11-08 18:01:19,0.008s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 18:01:19,2018-11-08 18:01:19,0.604s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 18:01:19,2018-11-08 18:01:19,0.005s,PASSED
