Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 67.0.3396.99,,2018-07-31 15:57:16,2018-07-31 15:58:14,58.452s,PASSED
,,,,,,
Test Cases/General_Login_Logout/TC_1_Login,Chrome 67.0.3396.99,,2018-07-31 15:57:16,2018-07-31 15:58:01,44.564s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-31 15:57:16,2018-07-31 15:57:34,17.668s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-31 15:57:34,2018-07-31 15:57:34,0.087s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-31 15:57:34,2018-07-31 15:57:35,1.163s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-31 15:57:35,2018-07-31 15:57:35,0.059s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-31 15:57:35,2018-07-31 15:57:35,0.105s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-31 15:57:35,2018-07-31 15:57:35,0.088s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 15:57:35,2018-07-31 15:57:36,0.059s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-31 15:57:36,2018-07-31 15:57:36,0.007s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 15:57:36,2018-07-31 15:57:59,23.100s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-31 15:57:59,2018-07-31 15:58:01,2.011s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 67.0.3396.99,,2018-07-31 15:58:01,2018-07-31 15:58:03,2.412s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-31 15:58:01,2018-07-31 15:58:01,0.009s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-31 15:58:01,2018-07-31 15:58:01,0.065s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-31 15:58:01,2018-07-31 15:58:01,0.008s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-31 15:58:01,2018-07-31 15:58:02,1.615s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-31 15:58:02,2018-07-31 15:58:02,0.008s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 15:58:02,2018-07-31 15:58:03,0.600s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-31 15:58:03,2018-07-31 15:58:03,0.008s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-31 15:58:03,2018-07-31 15:58:03,0.001s,NOT_RUN
,,,,,,
