Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 70.0.3538.77,,2018-11-08 15:54:05,2018-11-08 15:55:29,1m - 23.916s,FAILED
,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 70.0.3538.77,,2018-11-08 15:54:06,2018-11-08 15:54:46,40.500s,PASSED
tradeFunds.TF_Regression.LoginTFCustomer,Chrome 70.0.3538.77,,2018-11-08 15:54:06,2018-11-08 15:54:46,40.276s,PASSED
,,,,,,
Test Cases/Regression_TF_Customer/TC_1_Create_Banner,Chrome 70.0.3538.77,,2018-11-08 15:54:46,2018-11-08 15:55:29,43.169s,FAILED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 15:54:46,2018-11-08 15:54:46,0.014s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 15:54:46,2018-11-08 15:54:49,2.640s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 15:54:49,2018-11-08 15:54:49,0.006s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 15:54:49,2018-11-08 15:54:50,1.087s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 15:54:50,2018-11-08 15:54:50,0.007s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 15:54:50,2018-11-08 15:55:13,23.055s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-11-08 15:55:13,2018-11-08 15:55:13,0.009s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 15:55:13,2018-11-08 15:55:13,0.002s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 15:55:13,2018-11-08 15:55:13,0.000s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 15:55:13,2018-11-08 15:55:13,0.001s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 15:55:13,2018-11-08 15:55:13,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 15:55:13,2018-11-08 15:55:13,0.000s,NOT_RUN
delay,Chrome 70.0.3538.77,,2018-11-08 15:55:13,2018-11-08 15:55:16,3.003s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 15:55:16,2018-11-08 15:55:21,5.386s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 15:55:21,2018-11-08 15:55:23,2.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 15:55:23,2018-11-08 15:55:23,0.002s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-08 15:55:23,2018-11-08 15:55:24,0.178s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 15:55:24,2018-11-08 15:55:26,2.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 15:55:26,2018-11-08 15:55:26,0.151s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 15:55:26,2018-11-08 15:55:29,3.001s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-08 15:55:29,2018-11-08 15:55:29,0.422s,FAILED
