Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 67.0.3396.99,,2018-08-01 15:34:40,2018-08-01 15:35:38,58.399s,PASSED
,,,,,,
Test Cases/General_Login_Logout/TC_1_Login,Chrome 67.0.3396.99,,2018-08-01 15:34:40,2018-08-01 15:35:23,42.517s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-01 15:34:40,2018-08-01 15:34:54,13.094s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 15:34:54,2018-08-01 15:34:54,0.361s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-08-01 15:34:54,2018-08-01 15:35:00,5.724s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-08-01 15:35:00,2018-08-01 15:35:01,1.722s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 15:35:01,2018-08-01 15:35:02,0.337s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 15:35:02,2018-08-01 15:35:02,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 15:35:02,2018-08-01 15:35:02,0.055s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 15:35:02,2018-08-01 15:35:02,0.005s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 15:35:02,2018-08-01 15:35:21,18.906s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-01 15:35:21,2018-08-01 15:35:23,2.015s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 67.0.3396.99,,2018-08-01 15:35:23,2018-08-01 15:35:26,2.875s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 15:35:23,2018-08-01 15:35:23,0.007s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-08-01 15:35:23,2018-08-01 15:35:23,0.042s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 15:35:23,2018-08-01 15:35:23,0.005s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-08-01 15:35:23,2018-08-01 15:35:25,1.766s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 15:35:25,2018-08-01 15:35:25,0.010s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 15:35:25,2018-08-01 15:35:26,0.943s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 15:35:26,2018-08-01 15:35:26,0.008s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-08-01 15:35:26,2018-08-01 15:35:26,0.001s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Open_RGM_Designated_Baseline,Chrome 67.0.3396.99,,2018-08-01 15:35:26,2018-08-01 15:35:27,1.045s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 15:35:26,2018-08-01 15:35:26,0.065s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-08-01 15:35:26,2018-08-01 15:35:26,0.049s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 15:35:26,2018-08-01 15:35:26,0.006s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-08-01 15:35:26,2018-08-01 15:35:26,0.044s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 15:35:26,2018-08-01 15:35:26,0.006s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 15:35:26,2018-08-01 15:35:27,0.803s,PASSED
