Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Open_All_Pages,Chrome 74.0.3729.131,,,2019-05-10 06:56:14,2019-05-10 06:57:43,1m - 28.910s,PASSED
,,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 74.0.3729.131,,,2019-05-10 06:56:14,2019-05-10 06:56:33,18.318s,PASSED
"com.oracledb.regressiontest.LoginTFProduct(User, Password)",Chrome 74.0.3729.131,,,2019-05-10 06:56:15,2019-05-10 06:56:33,17.918s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_1_Open_JMS_Sales_Organisation,Chrome 74.0.3729.131,This test case will open JMS Sales organistion page.,,2019-05-10 06:56:33,2019-05-10 06:57:05,32.797s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-10 06:56:33,2019-05-10 06:56:39,6.003s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-10 06:56:39,2019-05-10 06:56:46,7.512s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:56:46,2019-05-10 06:56:49,3.005s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-10 06:56:49,2019-05-10 06:56:59,10.035s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:56:59,2019-05-10 06:57:02,3.004s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/1_Menu_JMS_Sales_Organisation""))",Chrome 74.0.3729.131,,,2019-05-10 06:57:02,2019-05-10 06:57:02,0.090s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-10 06:57:02,2019-05-10 06:57:05,3.004s,PASSED
,,,,,,,
