Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Open_All_Pages,Firefox 63.0,,,2019-05-13 07:34:55,2019-05-13 07:37:23,2m - 27.942s,PASSED
,,,,,,,
Test Cases/General_Login_Logout/Login,Firefox 63.0,,,2019-05-13 07:34:55,2019-05-13 07:35:28,32.821s,PASSED
"com.oracledb.regressiontest.LoginTFProduct(User, Password)",Firefox 63.0,,,2019-05-13 07:34:56,2019-05-13 07:35:28,32.434s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_1_Open_JMS_Sales_Organisation,Firefox 63.0,This test case will open JMS Sales organistion page.,,2019-05-13 07:35:28,2019-05-13 07:35:44,15.750s,PASSED
delay(6),Firefox 63.0,,,2019-05-13 07:35:28,2019-05-13 07:35:34,6.003s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Firefox 63.0,,,2019-05-13 07:35:34,2019-05-13 07:35:35,0.187s,PASSED
delay(3),Firefox 63.0,,,2019-05-13 07:35:35,2019-05-13 07:35:38,3.003s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Firefox 63.0,,,2019-05-13 07:35:38,2019-05-13 07:35:38,0.134s,PASSED
delay(3),Firefox 63.0,,,2019-05-13 07:35:38,2019-05-13 07:35:41,3.003s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/1_Menu_JMS_Sales_Organisation""))",Firefox 63.0,,,2019-05-13 07:35:41,2019-05-13 07:35:41,0.261s,PASSED
waitForPageLoad(G_Timeout),Firefox 63.0,,,2019-05-13 07:35:41,2019-05-13 07:35:41,0.007s,PASSED
delay(3),Firefox 63.0,,,2019-05-13 07:35:41,2019-05-13 07:35:44,3.002s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-1_Total_Company,Firefox 63.0,This test case will open total company page by going into the Product Hierarchy level.,,2019-05-13 07:35:44,2019-05-13 07:35:56,11.827s,PASSED
waitForPageLoad(G_Timeout),Firefox 63.0,,,2019-05-13 07:35:44,2019-05-13 07:35:44,0.009s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Firefox 63.0,,,2019-05-13 07:35:44,2019-05-13 07:35:44,0.137s,PASSED
delay(3),Firefox 63.0,,,2019-05-13 07:35:44,2019-05-13 07:35:47,3.003s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Firefox 63.0,,,2019-05-13 07:35:47,2019-05-13 07:35:47,0.157s,PASSED
delay(3),Firefox 63.0,,,2019-05-13 07:35:47,2019-05-13 07:35:50,3.005s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/2_Product_Hierarchy_Level,_Hoverover_Option""))",Firefox 63.0,,,2019-05-13 07:35:50,2019-05-13 07:35:51,0.149s,PASSED
delay(2),Firefox 63.0,,,2019-05-13 07:35:51,2019-05-13 07:35:53,2.005s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/Product Hierarchy Level/td_total_company""))",Firefox 63.0,,,2019-05-13 07:35:53,2019-05-13 07:35:53,0.263s,PASSED
waitForPageLoad(G_Timeout),Firefox 63.0,,,2019-05-13 07:35:53,2019-05-13 07:35:53,0.007s,PASSED
delay(3),Firefox 63.0,,,2019-05-13 07:35:53,2019-05-13 07:35:56,3.002s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-2_Product_Summary,Firefox 63.0,This test case will open page product summary.,,2019-05-13 07:35:56,2019-05-13 07:36:08,11.883s,PASSED
waitForPageLoad(G_Timeout),Firefox 63.0,,,2019-05-13 07:35:56,2019-05-13 07:35:56,0.008s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Firefox 63.0,,,2019-05-13 07:35:56,2019-05-13 07:35:56,0.142s,PASSED
delay(3),Firefox 63.0,,,2019-05-13 07:35:56,2019-05-13 07:35:59,3.004s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Firefox 63.0,,,2019-05-13 07:35:59,2019-05-13 07:35:59,0.154s,PASSED
delay(3),Firefox 63.0,,,2019-05-13 07:35:59,2019-05-13 07:36:02,3.004s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/2_Product_Hierarchy_Level,_Hoverover_Option""))",Firefox 63.0,,,2019-05-13 07:36:02,2019-05-13 07:36:02,0.147s,PASSED
delay(2),Firefox 63.0,,,2019-05-13 07:36:02,2019-05-13 07:36:04,2.003s,PASSED
