Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 66.0.3359.181,,2018-05-28 07:28:51,2018-05-28 07:29:29,37.646s,PASSED
,,,,,,
Test Cases/General_Login_Logout/TC_1_Login,Chrome 66.0.3359.181,,2018-05-28 07:28:51,2018-05-28 07:29:16,24.330s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-28 07:28:52,2018-05-28 07:29:00,8.052s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:00,2018-05-28 07:29:00,0.109s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-28 07:29:00,2018-05-28 07:29:01,1.141s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-28 07:29:01,2018-05-28 07:29:01,0.056s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-28 07:29:01,2018-05-28 07:29:01,0.104s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-28 07:29:01,2018-05-28 07:29:01,0.102s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 07:29:01,2018-05-28 07:29:01,0.056s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:01,2018-05-28 07:29:01,0.006s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 07:29:01,2018-05-28 07:29:14,12.467s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 07:29:14,2018-05-28 07:29:16,2.011s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 66.0.3359.181,,2018-05-28 07:29:16,2018-05-28 07:29:17,1.366s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:16,2018-05-28 07:29:16,0.009s,PASSED
mouseOver,Chrome 66.0.3359.181,,2018-05-28 07:29:16,2018-05-28 07:29:16,0.107s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:16,2018-05-28 07:29:16,0.008s,PASSED
mouseOver,Chrome 66.0.3359.181,,2018-05-28 07:29:16,2018-05-28 07:29:17,0.564s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:17,0.009s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:17,0.577s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:17,0.007s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:17,0.002s,NOT_RUN
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Open_RGM_Designated_Baseline,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:18,0.810s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:17,0.011s,PASSED
mouseOver,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:17,0.030s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:17,0.007s,PASSED
mouseOver,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:17,0.036s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:17,0.006s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 07:29:17,2018-05-28 07:29:18,0.610s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-05-28 07:29:18,2018-05-28 07:29:18,0.010s,PASSED
