Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 66.0.3359.139,,2018-05-11 11:57:51,2018-05-11 11:59:09,1m - 17.543s,FAILED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Login,Chrome 66.0.3359.139,,2018-05-11 11:57:51,2018-05-11 11:58:35,43.781s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-11 11:57:52,2018-05-11 11:58:03,10.853s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 11:58:03,2018-05-11 11:58:03,0.060s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-11 11:58:03,2018-05-11 11:58:04,1.149s,PASSED
waitForElementClickable,Chrome 66.0.3359.139,,2018-05-11 11:58:04,2018-05-11 11:58:04,0.055s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 11:58:04,2018-05-11 11:58:04,0.098s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 11:58:04,2018-05-11 11:58:04,0.081s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 11:58:04,2018-05-11 11:58:04,0.053s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 11:58:04,2018-05-11 11:58:04,0.007s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 11:58:04,2018-05-11 11:58:35,31.205s,FAILED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_3_Open_All_Pages,Chrome 66.0.3359.139,,2018-05-11 11:58:35,2018-05-11 11:59:08,32.332s,FAILED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 11:58:36,2018-05-11 11:58:36,0.007s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 11:58:36,2018-05-11 11:59:08,31.790s,FAILED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Logout,Chrome 66.0.3359.139,,2018-05-11 11:59:08,2018-05-11 11:59:08,0.448s,FAILED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 11:59:08,2018-05-11 11:59:08,0.375s,FAILED
