Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 66.0.3359.139,,2018-05-11 18:54:35,2018-05-11 18:59:22,4m - 47.374s,FAILED
,,,,,,
Test Cases/General_Login_Logout/TC_1_Login,Chrome 66.0.3359.139,,2018-05-11 18:54:35,2018-05-11 18:54:59,23.890s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-11 18:54:35,2018-05-11 18:54:45,10.041s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:54:45,2018-05-11 18:54:45,0.082s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-11 18:54:45,2018-05-11 18:54:47,1.151s,PASSED
waitForElementClickable,Chrome 66.0.3359.139,,2018-05-11 18:54:47,2018-05-11 18:54:47,0.063s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 18:54:47,2018-05-11 18:54:47,0.108s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 18:54:47,2018-05-11 18:54:47,0.105s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:54:47,2018-05-11 18:54:47,0.090s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:54:47,2018-05-11 18:54:47,0.008s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:54:47,2018-05-11 18:54:57,9.967s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-11 18:54:57,2018-05-11 18:54:59,2.012s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Open_Banner,Chrome 66.0.3359.139,,2018-05-11 18:54:59,2018-05-11 18:55:18,18.634s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:54:59,2018-05-11 18:54:59,0.013s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:54:59,2018-05-11 18:55:14,14.762s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:14,2018-05-11 18:55:14,0.007s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:55:14,2018-05-11 18:55:18,3.761s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_2_Open_RGM_Designated_Baseline,Chrome 66.0.3359.139,,2018-05-11 18:55:18,2018-05-11 18:55:19,1.238s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:18,2018-05-11 18:55:18,0.008s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:55:18,2018-05-11 18:55:18,0.070s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:18,2018-05-11 18:55:18,0.006s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:55:18,2018-05-11 18:55:19,1.084s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_3_Open_JMS_Sales_Org,Chrome 66.0.3359.139,,2018-05-11 18:55:19,2018-05-11 18:55:21,1.813s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:19,2018-05-11 18:55:19,0.007s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:55:19,2018-05-11 18:55:19,0.615s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:19,2018-05-11 18:55:19,0.006s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:55:19,2018-05-11 18:55:21,1.118s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_4_Open_Consumption_Baseline_Source,Chrome 66.0.3359.139,,2018-05-11 18:55:21,2018-05-11 18:55:23,2.303s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:21,2018-05-11 18:55:21,0.006s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:55:21,2018-05-11 18:55:22,1.111s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:22,2018-05-11 18:55:22,0.006s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:55:22,2018-05-11 18:55:23,1.099s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_5_Open_Corporate_Customer,Chrome 66.0.3359.139,,2018-05-11 18:55:23,2018-05-11 18:55:26,2.836s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:23,2018-05-11 18:55:23,0.007s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:55:23,2018-05-11 18:55:25,1.677s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:25,2018-05-11 18:55:25,0.006s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:55:25,2018-05-11 18:55:26,1.082s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_6_Open_SHL1_SBU,Chrome 66.0.3359.139,,2018-05-11 18:55:26,2018-05-11 18:56:08,42.265s,FAILED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:26,2018-05-11 18:55:26,0.008s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:55:26,2018-05-11 18:55:36,10.058s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:55:36,2018-05-11 18:55:36,0.007s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:55:36,2018-05-11 18:56:08,32.133s,FAILED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_7_Open_SHL2_Sales_Segment,Chrome 66.0.3359.139,,2018-05-11 18:56:08,2018-05-11 18:56:40,32.347s,FAILED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:56:08,2018-05-11 18:56:08,0.024s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:56:08,2018-05-11 18:56:08,0.089s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:56:08,2018-05-11 18:56:08,0.009s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:56:08,2018-05-11 18:56:40,32.161s,FAILED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_8_Open_SHL3_Sales_Division,Chrome 66.0.3359.139,,2018-05-11 18:56:40,2018-05-11 18:57:13,32.294s,FAILED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:56:40,2018-05-11 18:56:40,0.005s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 18:56:40,2018-05-11 18:56:41,0.072s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-11 18:56:41,2018-05-11 18:56:41,0.007s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-11 18:56:41,2018-05-11 18:57:13,32.116s,FAILED
,,,,,,
