Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Open_All_Pages,Chrome 74.0.3729.131,,,2019-05-13 07:38:41,2019-05-13 07:41:04,2m - 22.448s,PASSED
,,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 74.0.3729.131,,,2019-05-13 07:38:41,2019-05-13 07:39:06,24.788s,PASSED
"com.oracledb.regressiontest.LoginTFProduct(User, Password)",Chrome 74.0.3729.131,,,2019-05-13 07:38:42,2019-05-13 07:39:06,24.380s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_1_Open_JMS_Sales_Organisation,Chrome 74.0.3729.131,This test case will open JMS Sales organistion page.,,2019-05-13 07:39:06,2019-05-13 07:39:24,18.343s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-13 07:39:06,2019-05-13 07:39:12,6.003s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-13 07:39:12,2019-05-13 07:39:15,3.044s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-13 07:39:15,2019-05-13 07:39:18,3.002s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/1_Menu_Create_Master_Data""))",Chrome 74.0.3729.131,,,2019-05-13 07:39:18,2019-05-13 07:39:18,0.055s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-13 07:39:18,2019-05-13 07:39:21,3.003s,PASSED
"click(findTestObject(""TF_Customer_Create/2_Select_Menu_Options(All)/1_Menu_JMS_Sales_Organisation""))",Chrome 74.0.3729.131,,,2019-05-13 07:39:21,2019-05-13 07:39:21,0.084s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-13 07:39:21,2019-05-13 07:39:21,0.016s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-13 07:39:21,2019-05-13 07:39:24,3.001s,PASSED
,,,,,,,
Test Cases/Regression_TF_Product/Open_Pages/TC_2-1_Total_Company,Chrome 74.0.3729.131,This test case will open total company page by going into the Product Hierarchy level.,,2019-05-13 07:39:24,2019-05-13 07:39:36,11.494s,PASSED
waitForPageLoad(G_Timeout),Chrome 74.0.3729.131,,,2019-05-13 07:39:25,2019-05-13 07:39:25,0.100s,PASSED
"mouseOver(findTestObject(""TF_Customer_Create/1_Menu_Navigation_To_Open_All_Pages/0_Menu_Create_In_Data_View""))",Chrome 74.0.3729.131,,,2019-05-13 07:39:25,2019-05-13 07:39:25,0.044s,PASSED
