Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke_TF_Customer,Chrome 69.0.3497.100,,2018-10-30 16:10:22,2018-10-30 16:11:06,44.038s,ERROR
,,,,,,
Test Cases/General_Login_Logout/Login,Chrome 69.0.3497.100,,2018-10-30 16:10:22,2018-10-30 16:10:42,20.112s,PASSED
tradeFunds.TF_Regression.LoginTFCustomer,Chrome 69.0.3497.100,,2018-10-30 16:10:23,2018-10-30 16:10:42,19.874s,PASSED
,,,,,,
Test Cases/Smoke_TF_Customer/TC_1_Create_Banner,Chrome 69.0.3497.100,,2018-10-30 16:10:42,2018-10-30 16:11:06,23.695s,ERROR
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 16:10:43,2018-10-30 16:10:43,0.012s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-30 16:10:43,2018-10-30 16:10:43,0.120s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 16:10:43,2018-10-30 16:10:43,0.006s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-30 16:10:43,2018-10-30 16:10:44,1.596s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 16:10:44,2018-10-30 16:10:44,0.007s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:10:44,2018-10-30 16:10:45,0.621s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-30 16:10:45,2018-10-30 16:10:45,0.009s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:10:45,2018-10-30 16:10:45,0.067s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 16:10:45,2018-10-30 16:10:50,5.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:10:50,2018-10-30 16:10:50,0.003s,NOT_RUN
delay,Chrome 69.0.3497.100,,2018-10-30 16:10:50,2018-10-30 16:10:50,0.003s,NOT_RUN
setText,Chrome 69.0.3497.100,,2018-10-30 16:10:50,2018-10-30 16:10:57,6.569s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 16:10:57,2018-10-30 16:10:59,2.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:10:59,2018-10-30 16:10:59,0.003s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-10-30 16:10:59,2018-10-30 16:10:59,0.163s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 16:10:59,2018-10-30 16:11:00,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:11:00,2018-10-30 16:11:00,0.139s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-30 16:11:00,2018-10-30 16:11:03,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 16:11:03,2018-10-30 16:11:03,0.133s,PASSED
tradeFunds.TF_Regression.verifyBanner,Chrome 69.0.3497.100,,2018-10-30 16:11:03,2018-10-30 16:11:06,3.092s,PASSED
"Statement - println(""MTCH_Banner_Name"")",Chrome 69.0.3497.100,,2018-10-30 16:11:06,2018-10-30 16:11:06,0.008s,PASSED
verifyEqual,Chrome 69.0.3497.100,,2018-10-30 16:11:06,2018-10-30 16:11:06,0.002s,PASSED
